Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-10 11:15:00+05:30,153.0800018,153.2100067,151.5,151.6900024,211421,0,0
2025-12-10 12:15:00+05:30,151.6900024,151.9100037,150.8399963,150.9700012,98499,0,0
2025-12-10 13:15:00+05:30,150.9700012,151.1999969,150.1100006,150.2299957,100243,0,0
2025-12-10 14:15:00+05:30,150.1900024,150.5500031,149.6999969,149.6999969,233428,0,0
2025-12-10 15:15:00+05:30,149.6999969,149.9400024,149.1300049,149.6600037,122510,0,0
2025-12-11 09:15:00+05:30,150.1100006,155.8699951,148.7400055,155.3399963,0,0,0
2025-12-11 10:15:00+05:30,155.5099945,159.3000031,155,155.8500061,5793318,0,0
2025-12-11 11:15:00+05:30,155.8600006,157.3399963,155.5099945,156.1300049,1474481,0,0
2025-12-11 12:15:00+05:30,156.0299988,156.4900055,155.6000061,155.75,496634,0,0
2025-12-11 13:15:00+05:30,155.7400055,156.4900055,155.7100067,156.0099945,451791,0,0
2025-12-11 14:15:00+05:30,156,158.0700073,155.8099976,157.8999939,1595984,0,0
2025-12-11 15:15:00+05:30,157.8300018,158.8000031,156.5599976,157.7599945,841703,0,0
2025-12-12 09:15:00+05:30,156.8999939,156.8999939,155.0500031,155.9900055,0,0,0
2025-12-12 10:15:00+05:30,156.0299988,156.1000061,155.25,155.6999969,161528,0,0
2025-12-12 11:15:00+05:30,155.7799988,155.9900055,155.5099945,155.8699951,99277,0,0
2025-12-12 12:15:00+05:30,155.8800049,156.7899933,155.6499939,156.1100006,135656,0,0
2025-12-12 13:15:00+05:30,156.1100006,157,156,156.7799988,174916,0,0
2025-12-12 14:15:00+05:30,156.7799988,157.7899933,156.3800049,157.4100037,293456,0,0
2025-12-12 15:15:00+05:30,157.3000031,157.6799927,156.6499939,156.6999969,161612,0,0
2025-12-15 09:15:00+05:30,156,156.3099976,154.5,156.0599976,0,0,0
2025-12-15 10:15:00+05:30,156.0599976,156.1999969,155.25,155.5700073,145744,0,0
2025-12-15 11:15:00+05:30,155.5599976,156.5,155.3699951,156.1499939,110895,0,0
2025-12-15 12:15:00+05:30,156.1499939,157.3999939,156.0599976,157.0099945,183986,0,0
2025-12-15 13:15:00+05:30,157.0099945,157.4299927,156.3399963,156.6300049,187495,0,0
2025-12-15 14:15:00+05:30,156.6300049,157.5,156.6100006,157.3699951,170272,0,0
2025-12-15 15:15:00+05:30,157.4499969,157.5,156.5,156.9199982,183851,0,0
2025-12-16 09:15:00+05:30,155.7100067,156.1999969,154.6000061,154.9600067,0,0,0
2025-12-16 10:15:00+05:30,154.9400024,155.1300049,154.3999939,154.6000061,59063,0,0
2025-12-16 11:15:00+05:30,154.6000061,154.7100067,154.1000061,154.25,153539,0,0
2025-12-16 12:15:00+05:30,154.3500061,154.75,154.1000061,154.3099976,89291,0,0
2025-12-16 13:15:00+05:30,154.3999939,154.6399994,154.1000061,154.1699982,54326,0,0
2025-12-16 14:15:00+05:30,154.1699982,154.3000031,153.6100006,153.8600006,142910,0,0
2025-12-16 15:15:00+05:30,153.3800049,153.6000061,152.8399963,153.0099945,340147,0,0
2025-12-17 09:15:00+05:30,152.9299927,154.1600037,152.5099945,152.7400055,0,0,0
2025-12-17 10:15:00+05:30,152.8399963,153,151.8000031,152.3500061,123430,0,0
2025-12-17 11:15:00+05:30,152.3500061,152.7299957,152.1000061,152.2799988,74898,0,0
2025-12-17 12:15:00+05:30,152.3600006,152.5,152,152.1300049,43371,0,0
2025-12-17 13:15:00+05:30,152.1199951,152.3800049,151.8200073,151.9299927,67321,0,0
2025-12-17 14:15:00+05:30,152,152.1900024,151.1499939,151.5800018,124031,0,0
2025-12-17 15:15:00+05:30,151.6000061,151.8500061,151.0700073,151.1999969,122809,0,0
2025-12-18 09:15:00+05:30,150.5299988,150.6900024,148.1300049,149.2899933,523889,0,0
2025-12-18 10:15:00+05:30,149.1699982,150.1600037,149.0599976,149.5,176771,0,0
2025-12-18 11:15:00+05:30,149.5700073,150.9799957,149.3099976,150.8999939,149636,0,0
2025-12-18 12:15:00+05:30,150.8999939,151.0800018,150.1000061,150.4199982,119484,0,0
2025-12-18 13:15:00+05:30,150.4199982,150.4199982,149.4400024,149.5399933,91145,0,0
2025-12-18 14:15:00+05:30,149.5399933,150.1999969,149.3000031,149.9600067,173321,0,0
2025-12-18 15:15:00+05:30,149.9700012,150.1900024,149.8000031,150.0099945,113480,0,0
2025-12-19 09:15:00+05:30,150.75,151.5899963,150.2899933,150.5099945,0,0,0
2025-12-19 10:15:00+05:30,150.3999939,150.8200073,150.1100006,150.4199982,63137,0,0
2025-12-19 11:15:00+05:30,150.3899994,150.5399933,149.9900055,150.2599945,92431,0,0
2025-12-19 12:15:00+05:30,150.2400055,151.1499939,150.1900024,150.4499969,64242,0,0
2025-12-19 13:15:00+05:30,150.4199982,152.1499939,150.25,152.0299988,250044,0,0
2025-12-19 14:15:00+05:30,152.0800018,153.3600006,151.5,152.8600006,522066,0,0
2025-12-19 15:15:00+05:30,152.9100037,153.25,152.8500061,153.2400055,165802,0,0
2025-12-22 09:15:00+05:30,153.8000031,158.0800018,153.8000031,156.4499969,1224152,0,0
2025-12-22 10:15:00+05:30,156.4499969,158.25,155.5899963,155.8899994,1398860,0,0
2025-12-22 11:15:00+05:30,155.8999939,155.9900055,155.1100006,155.6499939,351666,0,0
2025-12-22 12:15:00+05:30,155.6600037,155.8600006,155.3000031,155.7299957,142885,0,0
2025-12-22 13:15:00+05:30,155.7299957,157.5899963,155.6799927,156.7599945,753177,0,0
2025-12-22 14:15:00+05:30,156.8000031,158.1499939,156.5399933,156.6699982,716209,0,0
2025-12-22 15:15:00+05:30,156.6799927,157.2299957,156.1999969,156.8099976,385876,0,0
2025-12-23 09:15:00+05:30,157.9499969,164.2100067,156.5899963,163.0899963,729922,0,0
2025-12-23 10:15:00+05:30,163.1000061,163.7899933,162.6600037,163.3200073,1192346,0,0
2025-12-23 11:15:00+05:30,163.2700043,177.3099976,162.9400024,175.1999969,20560840,0,0
2025-12-23 12:15:00+05:30,175.2299957,175.9900055,171.8000031,172.3200073,10227863,0,0
2025-12-23 13:15:00+05:30,172.2400055,172.5,169.3999939,170.1000061,7741887,0,0
2025-12-23 14:15:00+05:30,170.0500031,171.7899933,168.2299957,169,8280828,0,0
2025-12-23 15:15:00+05:30,168.8699951,170,168.1499939,169,2426408,0,0
2025-12-24 09:15:00+05:30,170.1399994,174.0200043,168.1999969,169.4299927,0,0,0
2025-12-24 10:15:00+05:30,169.3500061,172.3999939,169.1499939,171.25,1798292,0,0
2025-12-24 11:15:00+05:30,171.1699982,172.25,170.3699951,170.5599976,603504,0,0
2025-12-24 12:15:00+05:30,170.6000061,171.8200073,170.3999939,170.5,403851,0,0
2025-12-24 13:15:00+05:30,170.5,170.8000031,169.75,170.7400055,525531,0,0
2025-12-24 14:15:00+05:30,170.6999969,171.6199951,170.3600006,170.8500061,1093966,0,0
2025-12-24 15:15:00+05:30,170.8099976,171,170.25,170.5500031,841968,0,0
2025-12-26 09:15:00+05:30,171.6000061,179.6000061,169,177.9799957,2088990,0,0
2025-12-26 10:15:00+05:30,177.9799957,186.3500061,177.3099976,183.3099976,17965912,0,0
2025-12-26 11:15:00+05:30,183.3099976,185.1699982,180.8800049,182.1399994,6486224,0,0
2025-12-26 12:15:00+05:30,182.1100006,184.0099945,180.6199951,182.3999939,3837902,0,0
2025-12-26 13:15:00+05:30,182.3999939,182.3999939,180.5099945,181.1999969,1947131,0,0
2025-12-26 14:15:00+05:30,181.2400055,181.3000031,178.5500031,179.1999969,4374554,0,0
2025-12-26 15:15:00+05:30,179.1900024,179.2899933,177.6399994,178.25,2059620,0,0
2025-12-29 09:15:00+05:30,178.8999939,181.9499969,175.1999969,176.0599976,0,0,0
2025-12-29 10:15:00+05:30,176.0500031,176.0899963,174.6000061,174.8800049,870281,0,0
2025-12-29 11:15:00+05:30,174.8300018,176.1499939,174.3600006,175.1000061,528090,0,0
2025-12-29 12:15:00+05:30,175.1600037,175.1600037,173.1999969,173.1999969,510448,0,0
2025-12-29 13:15:00+05:30,173.2400055,174.1300049,172.6699982,173.4600067,460825,0,0
2025-12-29 14:15:00+05:30,173.3600006,174.8300018,172.4499969,172.7200012,873675,0,0
2025-12-29 15:15:00+05:30,172.8300018,173.1900024,172.3999939,172.7700043,576156,0,0
2025-12-30 09:15:00+05:30,172.6900024,172.6900024,170.3999939,171.6699982,0,0,0
2025-12-30 10:15:00+05:30,171.6699982,177.6100006,171.25,173.6999969,1933662,0,0
2025-12-30 11:15:00+05:30,173.5299988,173.9900055,172.7200012,173.25,434920,0,0
2025-12-30 12:15:00+05:30,173.2200012,173.5,172.1000061,173.1499939,365902,0,0
2025-12-30 13:15:00+05:30,173.0399933,173.4400024,172.3500061,172.6999969,285390,0,0
2025-12-30 14:15:00+05:30,172.6999969,173.0899963,171.3099976,171.6699982,634836,0,0
2025-12-30 15:15:00+05:30,171.6999969,171.9900055,170.7799988,171.8000031,486955,0,0
